Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
28.01.2015 18:29;249.98;250.02;249.98;250.02;92.85;23212.78;250;
28.01.2015 18:30;250.02;250.53;250;250;8.41;2102.82;250.16;
28.01.2015 18:31;250;250.42;248.75;250.42;3.05;761.61;250.09;
28.01.2015 18:32;250.39;250.42;246.71;246.71;26.19;6500.32;248.19;
28.01.2015 18:33;246.71;247.42;245;246.46;172.08;42289.56;245.75;
28.01.2015 18:34;245;246.44;244.77;245.5;106.22;26040.86;245.15;
28.01.2015 18:35;245.5;245.51;244.03;244.03;99.89;24431.71;244.58;
28.01.2015 18:36;244.3;245.46;244.03;244.93;30;7333.96;244.5;
28.01.2015 18:37;245.46;245.5;244.45;244.45;11.37;2784.61;244.94;
28.01.2015 18:38;244.5;245.45;244.5;244.5;22.49;5499.28;244.54;
28.01.2015 18:39;245.43;245.48;244.5;244.5;36.48;8931.12;244.8;
28.01.2015 18:40;244.5;244.63;244.5;244.63;12.32;3013.08;244.53;
28.01.2015 18:41;244.63;245.11;244.61;244.61;6.38;1560.89;244.69;
28.01.2015 18:42;244.61;245.1;244;244;118.88;29061.55;244.47;
28.01.2015 18:43;244.01;244.22;243.2;243.59;36.2;8825.25;243.82;
28.01.2015 18:44;243.59;243.95;243.4;243.55;21.84;5323.09;243.69;
28.01.2015 18:45;243.93;244.01;243.7;243.7;33.59;8193.51;243.95;
28.01.2015 18:46;243.71;244.24;243.5;243.5;44.69;10906.21;244.02;
28.01.2015 18:47;243.5;244.24;243.5;244;72.48;17676.26;243.87;
28.01.2015 18:48;244;244.23;237.1;237.11;1221.82;294255.72;240.83;
28.01.2015 18:49;238;239;233.11;233.11;720.72;169868.81;235.69;
28.01.2015 18:50;233.1;238;233;237.99;63.22;14814.26;234.31;
28.01.2015 18:51;237.1;238;237;237.01;37.65;8945.6;237.6;
28.01.2015 18:52;237.02;237.46;236;236;27.93;6613.14;236.77;
28.01.2015 18:53;237.39;237.82;234.88;237.81;203.64;48038.3;235.9;
28.01.2015 18:54;237.82;238;235.91;238;109.53;26038.41;237.73;
28.01.2015 18:55;237.81;239.85;236.32;239.85;46.45;11103.23;239.05;
28.01.2015 18:56;239.85;240;239;239.01;93.53;22421.66;239.73;
28.01.2015 18:57;239.99;240;238.67;239.98;36.99;8860.9;239.56;
28.01.2015 18:58;239.98;242.09;238.32;240.3;112.55;27133.02;241.07;
28.01.2015 18:59;240.3;241.55;238.31;239.01;29.24;7022.98;240.17;
28.01.2015 19:00;239;240;238;240;86.15;20522.54;238.23;
28.01.2015 19:01;237.45;240.99;237.4;239.94;84.22;20161.28;239.39;
28.01.2015 19:02;237.8;240.97;237.03;239.93;49.15;11801.64;240.12;
28.01.2015 19:03;240.97;241.48;238.13;240.88;125.98;30364.31;241.03;
28.01.2015 19:04;240.88;240.96;240;240.67;46.3;11152.73;240.9;
28.01.2015 19:05;240.05;241.83;239.99;240.68;29.59;7135.22;241.1;
28.01.2015 19:06;240.7;243.85;240.68;241;131.15;31796.04;242.44;
28.01.2015 19:07;241.23;241.5;241.06;241.27;58.44;14098.83;241.26;
28.01.2015 19:08;241.5;241.66;241.06;241.13;19.32;4662.47;241.38;
28.01.2015 19:09;241.06;241.23;241;241.2;28.31;6824.85;241.08;
28.01.2015 19:10;241.2;241.78;241.2;241.5;64.14;15498.65;241.62;
28.01.2015 19:11;241.59;242.51;241.5;242.51;26.98;6524.18;241.83;
